Depths,CAL,GR,SP,LLD,LLS,AC,DEN,Liths
1550.0,10.434,92.789,-9.545,3.632,3.059,102.964,2.27,Фрбв
1550.125,10.339,90.558,-9.356,3.77,3.16,102.493,2.275,Фрбв
1550.25,10.234,89.756,-9.202,3.873,3.231,102.026,2.247,Фрбв
1550.375,10.26,90.152,-9.221,3.906,3.252,101.676,2.216,Фрбв
1550.5,10.435,90.545,-9.213,3.803,3.174,101.486,2.19,Фрбв
1550.625,10.402,91.39,-8.932,3.617,3.043,102.253,2.175,Фрбв
1550.75,10.344,93.113,-8.556,3.445,2.916,103.352,2.194,Фрбв
1550.875,10.2,95.529,-8.267,3.336,2.831,104.571,2.208,Фрбв
1551.0,10.002,97.615,-8.228,3.325,2.82,105.183,2.217,Фрбв
1551.125,10.031,96.333,-8.571,3.458,2.912,104.994,2.229,Фрбв
1551.25,10.156,93.717,-8.8,3.614,3.032,104.126,2.247,Фрбв
1551.375,10.218,90.13,-8.888,3.696,3.113,103.572,2.26,Фрбв
1551.5,10.223,87.276,-8.936,3.762,3.175,102.816,2.264,КЌНщаЮГцФрбв
1551.625,10.276,85.688,-9.062,3.833,3.24,102.958,2.27,КЌНщаЮГцФрбв
1551.75,10.381,86.129,-9.325,3.891,3.303,103.275,2.283,КЌНщаЮГцФрбв
1551.875,10.133,86.941,-9.637,3.92,3.347,103.579,2.314,КЌНщаЮГцФрбв
1552.0,9.872,87.691,-9.835,4.182,3.56,102.611,2.35,КЌНщаЮГцФрбв
1552.125,9.448,87.416,-10.012,4.398,3.744,100.827,2.386,КЌНщаЮГцФрбв
1552.25,9.181,86.87,-10.227,4.519,3.853,99.452,2.412,КЌНщаЮГцФрбв
1552.375,9.227,86.245,-10.428,4.592,3.92,98.443,2.419,КЌНщаЮГцФрбв
1552.5,9.37,86.564,-10.481,4.645,3.981,97.995,2.389,КЌНщаЮГцФрбв
1552.625,8.779,86.503,-10.378,4.49,3.855,98.241,2.37,КЌНщаЮГцФрбв
1552.75,8.628,85.62,-10.113,4.354,3.746,98.83,2.352,КЌНщаЮГцФрбв
1552.875,8.881,86.498,-9.837,4.272,3.671,99.933,2.341,КЌНщаЮГцФрбв
1553.0,9.248,87.821,-9.645,4.169,3.58,100.774,2.341,КЌНщаЮГцФрбв
1553.125,9.569,88.227,-9.526,4.034,3.472,101.882,2.346,КЌНщаЮГцФрбв
1553.25,9.87,86.73,-9.347,4.014,3.45,102.497,2.357,КЌНщаЮГцФрбв
