Depths,CAL,GR,SP,LLD,LLS,AC,DEN,Liths
1200.0,10.66,91.44,8.034,3.562,3.301,107.682,2.191,Фрбв
1200.125,10.625,91.967,8.229,3.592,3.323,107.718,2.221,Фрбв
1200.25,10.649,93.412,8.474,3.586,3.32,107.709,2.24,Фрбв
1200.375,10.834,95.134,8.604,3.56,3.288,107.575,2.227,Фрбв
1200.5,10.835,94.479,8.538,3.633,3.332,107.331,2.213,Фрбв
1200.625,10.909,94.285,8.668,3.65,3.336,107.031,2.211,Фрбв
1200.75,11.096,94.398,8.958,3.612,3.296,107.015,2.212,Фрбв
1200.875,11.351,94.903,9.265,3.56,3.249,107.407,2.21,Фрбв
1201.0,11.543,96.064,9.836,3.508,3.204,107.771,2.203,Фрбв
1201.125,11.4,97.731,9.824,3.399,3.132,108.083,2.209,Фрбв
1201.25,11.125,98.042,9.849,3.372,3.111,108.239,2.229,Фрбв
1201.375,11.024,97.664,9.747,3.446,3.172,108.036,2.253,Фрбв
1201.5,11.061,95.624,9.446,3.576,3.287,107.278,2.279,Фрбв
1201.625,11.166,91.826,9.041,3.624,3.345,106.391,2.299,Фрбв
1201.75,11.321,90.311,9.313,3.551,3.31,106.032,2.301,Фрбв
1201.875,11.323,92.223,9.165,3.587,3.37,105.989,2.271,Фрбв
1202.0,11.353,95.272,8.99,3.608,3.403,105.903,2.254,Фрбв
1202.125,11.108,96.723,8.892,3.628,3.415,105.805,2.254,Фрбв
1202.25,10.718,96.508,8.943,3.701,3.448,105.593,2.263,Фрбв
1202.375,10.602,96.12,9.333,3.897,3.628,104.734,2.26,Фрбв
1202.5,10.603,92.899,9.124,3.89,3.637,104.082,2.232,Фрбв
1202.625,11.171,93.202,8.605,3.63,3.418,104.753,2.188,Фрбв
1202.75,11.584,93.817,8.16,3.372,3.174,106.384,2.141,Фрбв
1202.875,11.659,95.085,7.926,3.171,2.973,108.181,2.086,Фрбв
1203.0,11.387,97.082,7.809,2.904,2.753,110.384,2.025,Фрбв
1203.125,11.206,98.221,7.827,2.659,2.52,112.578,1.994,Фрбв
1203.25,10.868,97.755,7.961,2.603,2.452,114.145,1.988,Фрбв
1203.375,10.601,97.261,7.86,2.596,2.423,114.974,1.991,Фрбв
1203.5,10.302,96.907,7.71,2.593,2.406,115.243,2.043,Фрбв
1203.625,10.072,96.414,7.717,2.576,2.398,115.196,2.105,Фрбв
1203.75,10.058,95.298,7.833,2.608,2.405,114.852,2.162,Фрбв
1203.875,9.529,93.781,7.959,2.669,2.448,114.124,2.21,Фрбв
1204.0,9.414,93.417,8.065,2.705,2.488,113.339,2.256,Фрбв
1204.125,9.368,92.996,8.077,2.806,2.583,112.746,2.296,Фрбв
1204.25,9.353,93.104,8.147,2.959,2.722,111.943,2.326,Фрбв
1204.375,9.346,93.624,8.566,3.084,2.837,110.788,2.348,Фрбв
1204.5,9.324,92.647,9.198,3.186,2.919,109.977,2.386,Фрбв
1204.625,9.316,94.449,8.904,3.232,2.995,109.219,2.396,Фрбв
1204.75,9.294,96.355,9.657,3.219,3.01,108.54,2.392,Фрбв
1204.875,9.298,96.501,10.025,3.242,3.043,108.206,2.383,Фрбв
1205.0,9.306,94.364,9.073,3.424,3.2,107.772,2.381,Фрбв
1205.125,9.286,89.831,8.049,3.92,3.621,106.227,2.396,КЌНщаЮГцФрбв
1205.25,9.281,82.528,7.996,4.261,3.901,104.154,2.421,КЌНщаЮГцФрбв
1205.375,9.282,79.845,7.75,4.704,4.235,102.561,2.444,КЌНщаЮГцФрбв
1205.5,9.261,76.694,7.661,4.938,4.408,101.623,2.44,КЌНщаЮГцФрбв
1205.625,9.252,75.975,7.737,4.844,4.336,101.375,2.423,КЌНщаЮГцФрбв
1205.75,9.257,78.536,7.874,4.404,4.005,102.367,2.401,КЌНщаЮГцФрбв
1205.875,9.244,81.433,8.336,3.839,3.546,104.201,2.383,КЌНщаЮГцФрбв
1206.0,9.243,84.625,8.408,3.694,3.412,105.736,2.369,КЌНщаЮГцФрбв
1206.125,9.223,84.895,7.701,3.722,3.428,106.433,2.361,КЌНщаЮГцФрбв
1206.25,9.216,84.032,6.962,3.986,3.623,106.252,2.354,КЌНщаЮГцФрбв
1206.375,9.218,81.871,6.666,4.532,4.027,105.204,2.348,КЌНщаЮГцФрбв
1206.5,9.219,78.107,6.735,5.316,4.632,103.272,2.346,КЌНщаЮГцФрбв
1206.625,9.221,74.583,6.528,5.515,4.853,101.425,2.345,КЌНщаЮГцФрбв
1206.75,9.199,72.84,6.636,5.88,5.215,100.491,2.353,КЌНщаЮГцФрбв
1206.875,9.206,73.193,6.689,5.951,5.346,99.63,2.366,КЌНщаЮГцФрбв
1207.0,9.222,75.506,6.791,5.786,5.282,98.948,2.379,КЌНщаЮГцФрбв
1207.125,9.229,79.24,7.098,5.615,5.185,99.505,2.389,КЌНщаЮГцФрбв
1207.25,9.22,83.065,7.123,5.755,5.302,99.942,2.392,КЌНщаЮГцФрбв
1207.375,9.232,83.004,7.29,5.78,5.326,100.026,2.374,КЌНщаЮГцФрбв
1207.5,9.224,80.411,7.639,5.606,5.181,100.357,2.356,КЌНщаЮГцФрбв
1207.625,9.21,77.329,7.815,5.444,5.053,100.553,2.348,КЌНщаЮГцФрбв
1207.75,9.204,75.475,7.74,5.434,5.041,100.052,2.354,КЌНщаЮГцФрбв
1207.875,9.216,76.071,7.695,5.619,5.143,99.449,2.37,КЌНщаЮГцФрбв
1208.0,9.218,77.272,8.264,5.341,4.91,99.333,2.388,КЌНщаЮГцФрбв
1208.125,9.234,77.394,8.497,4.757,4.451,100.6,2.401,КЌНщаЮГцФрбв
1208.25,9.219,78.683,8.611,4.525,4.257,102.75,2.39,КЌНщаЮГцФрбв
