Depths,CAL,GR,SP,LLD,LLS,AC,DEN,Liths
1500.0,8.392,89.383,-61.859,13.159,13.343,281.686,2.268,ЗлЩАбв
1500.125,8.394,90.261,-61.333,13.166,13.379,281.866,2.267,ЗлЩАбв
1500.25,8.39,90.017,-60.216,13.201,13.458,280.981,2.268,ЗлЩАбв
1500.375,8.387,88.699,-59.85,13.296,13.583,280.983,2.272,ЗлЩАбв
1500.5,8.376,86.786,-59.311,12.958,13.335,279.871,2.281,ЗлЩАбв
1500.625,8.37,86.662,-59.33,12.086,12.626,279.087,2.288,ЗлЩАбв
1500.75,8.371,90.276,-58.652,11.071,11.827,278.759,2.295,ЗлЩАбв
1500.875,8.376,94.001,-57.937,10.82,11.668,278.331,2.306,ЗлЩАбв
1501.0,8.383,97.102,-57.395,11.045,11.935,279.625,2.318,ЗлЩАбв
1501.125,8.385,97.301,-56.756,11.624,12.383,277.93,2.317,ЗлЩАбв
1501.25,8.396,97.578,-55.774,12.868,13.685,272.534,2.308,ЗлЩАбв
1501.375,8.411,99.673,-54.633,12.347,13.29,271.091,2.307,ЗлЩАбв
1501.5,8.446,110.419,-52.147,10.386,11.485,266.66,2.33,ЗлЩАбв
1501.625,8.475,119.273,-50.43,9.031,10.141,262.682,2.363,Фрбв
1501.75,8.519,128.272,-49.274,7.736,8.587,269.932,2.418,Фрбв
1501.875,8.539,131.667,-49.441,7.061,7.686,266.285,2.448,Фрбв
1502.0,8.632,135.455,-48.528,6.075,6.548,266.009,2.445,Фрбв
1502.125,8.772,139.055,-47.845,5.453,5.928,276.958,2.407,Фрбв
1502.25,9.07,146.31,-47.123,5.19,5.739,286.894,2.314,Фрбв
1502.375,9.253,150.688,-46.762,5.618,6.191,288.341,2.294,Фрбв
1502.5,9.212,148.734,-46.025,6.096,6.346,282.971,2.328,Фрбв
1502.625,8.977,144.748,-45.824,5.851,5.932,277.448,2.379,Фрбв
1502.75,9.108,139.355,-45.627,6.575,6.435,279.731,2.433,Фрбв
1502.875,9.295,137.605,-45.712,6.93,6.804,285.054,2.429,Фрбв
